"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2023","AQS","340030010","1","0.5","ppm","6","Fort Lee Near Road","19","79.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/02/2023","AQS","340030010","1","0.5","ppm","6","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/03/2023","AQS","340030010","1","0.8","ppm","9","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/04/2023","AQS","340030010","1","0.7","ppm","8","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/05/2023","AQS","340030010","1","0.5","ppm","6","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/06/2023","AQS","340030010","1","0.6","ppm","7","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/07/2023","AQS","340030010","1","0.4","ppm","5","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/08/2023","AQS","340030010","1","0.4","ppm","5","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/09/2023","AQS","340030010","1","0.5","ppm","6","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/10/2023","AQS","340030010","1","0.4","ppm","5","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/11/2023","AQS","340030010","1","0.4","ppm","5","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/12/2023","AQS","340030010","1","0.4","ppm","5","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/13/2023","AQS","340030010","1","0.3","ppm","3","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/14/2023","AQS","340030010","1","0.3","ppm","3","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/15/2023","AQS","340030010","1","0.3","ppm","3","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/16/2023","AQS","340030010","1","0.3","ppm","3","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/17/2023","AQS","340030010","1","0.7","ppm","8","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/18/2023","AQS","340030010","1","0.6","ppm","7","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
"01/19/2023","AQS","340030010","1","0.5","ppm","6","Fort Lee Near Road","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","003","Bergen","40.85355","-73.96618"
